run_id,model,layer,ttft_p50,ttft_p90,ttft_p95,ttft_p99,e2e_p50,e2e_p90,e2e_p95,e2e_p99,n_requests
gpt-oss-120b-l1-sympy__sympy-12419-1,gpt-oss-120b,L1,0.45,2.2,2.5,9.5,7.5,15.0,17.5,19.5,20
gpt-oss-120b-l1-sympy__sympy-12481-1,gpt-oss-120b,L1,0.5156,1.45,2.0687,3.35,5.0,28.0,35.6667,53.4,66
gpt-oss-120b-l2-node-1,gpt-oss-120b,L2,0.2981,0.575,1.975,6.825,5.9375,27.6667,36.5,103.8,27
gpt-oss-120b-l2-node-10,gpt-oss-120b,L2,0.3676,0.95,2.05,6.7,10.7143,29.3333,72.0,110.4,32
gpt-oss-120b-l2-node-11,gpt-oss-120b,L2,0.2857,0.5,1.75,4.25,4.0385,17.5,25.0,102.0,30
gpt-oss-120b-l2-node-12,gpt-oss-120b,L2,0.385,0.705,3.8125,6.525,5.8333,25.5,123.0,216.6,39
gpt-oss-120b-l2-node-13,gpt-oss-120b,L2,0.3482,0.735,1.525,9.175,6.5,33.5,43.5,200.4,33
gpt-oss-120b-l2-node-14,gpt-oss-120b,L2,0.352,0.725,0.9875,8.425,5.7812,17.125,34.25,82.2,63
gpt-oss-120b-l2-node-15,gpt-oss-120b,L2,0.306,0.5964,0.7089,13.7,3.9844,17.7,24.25,82.2,63
gpt-oss-120b-l2-node-16,gpt-oss-120b,L2,0.3804,0.63,0.715,4.15,8.75,27.6667,33.0,46.6,34
gpt-oss-120b-l2-node-17,gpt-oss-120b,L2,0.3333,0.4872,0.5833,6.0,5.0,18.75,30.0,47.0,60
gpt-oss-120b-l2-node-18,gpt-oss-120b,L2,0.4044,1.9938,2.4344,6.325,6.25,36.5,99.0,211.8,47
gpt-oss-120b-l2-node-19,gpt-oss-120b,L2,0.3929,0.725,0.9167,6.0,7.0833,25.0,33.3333,44.0,60
gpt-oss-120b-l2-node-2,gpt-oss-120b,L2,0.3375,0.6375,1.15,4.05,8.75,25.5,41.0,97.2,38
gpt-oss-120b-l2-node-20,gpt-oss-120b,L2,0.3558,0.825,1.975,9.325,8.25,23.0,36.5,103.8,27
gpt-oss-120b-l2-node-3,gpt-oss-120b,L2,0.3241,0.4944,0.7125,6.35,5.0,17.3333,23.5,92.4,46
gpt-oss-120b-l2-node-4,gpt-oss-120b,L2,0.3661,0.6125,0.7437,15.8,7.8571,29.6,36.3333,55.8,42
gpt-oss-120b-l2-node-5,gpt-oss-120b,L2,0.3587,0.775,1.45,6.3,5.0,24.0,36.0,182.4,48
gpt-oss-120b-l2-node-6,gpt-oss-120b,L2,0.2406,0.7,1.6,4.2,4.7222,19.0,54.0,201.6,32
gpt-oss-120b-l2-node-7,gpt-oss-120b,L2,0.3285,0.4843,0.5542,8.325,4.95,17.1667,25.5,36.65,67
gpt-oss-120b-l2-node-8,gpt-oss-120b,L2,0.3681,0.6786,0.8333,14.0,7.0,21.6667,26.6667,54.0,60
gpt-oss-120b-l2-node-9,gpt-oss-120b,L2,0.3333,0.7,2.2,6.9,8.5714,28.0,38.0,105.6,24
gpt-oss-120b-l2-python-1,gpt-oss-120b,L2,0.369,0.925,3.9167,8.85,8.0,28.5,38.5,47.7,46
gpt-oss-120b-l2-python-2,gpt-oss-120b,L2,0.3684,0.6571,0.7214,9.1,9.5833,31.3333,37.3333,46.4,36
gpt-oss-120b-l2-python-3,gpt-oss-120b,L2,0.3819,0.8,2.275,5.85,7.3529,25.4,28.7,43.4,66
gpt-oss-120b-l2-python-4,gpt-oss-120b,L2,0.4007,1.25,5.9375,9.1875,6.1667,29.0,49.1667,162.0,65
gpt-oss-120b-l2-python-5,gpt-oss-120b,L2,0.3995,1.7731,2.3673,14.85,7.3958,19.8333,28.0833,39.9,103
gpt-oss-120b-l2-python-7,gpt-oss-120b,L2,0.3984,1.6,2.125,3.25,4.9107,26.6667,51.6667,156.0,70
gpt-oss-120b-l2-python-8,gpt-oss-120b,L2,0.3625,0.7437,3.625,8.725,7.25,27.0,34.5,54.9,51
qwen3-coder-30b-l1-astropy__astropy-12907-1,qwen3-coder-30b,L1,0.625,2.75,3.875,4.775,4.0625,15.5,17.75,19.55,9
qwen3-coder-30b-l1-astropy__astropy-13033-1,qwen3-coder-30b,L1,0.425,0.875,1.375,2.275,4.7917,27.5,32.5,38.5,15
qwen3-coder-30b-l1-astropy__astropy-13236-1,qwen3-coder-30b,L1,0.475,0.975,1.675,2.335,5.5,9.9,17.25,19.45,11
qwen3-coder-30b-l1-astropy__astropy-13398-1,qwen3-coder-30b,L1,0.4875,2.0875,2.4812,4.475,4.8438,17.25,19.875,107.4,21
qwen3-coder-30b-l1-django__django-10554-1,qwen3-coder-30b,L1,0.5,5.3333,6.4167,7.2833,8.6364,47.0,57.0,104.4,26
qwen3-coder-30b-l1-django__django-10880-1,qwen3-coder-30b,L1,0.4375,1.6,2.05,2.41,3.2143,4.9286,7.0,9.4,12
qwen3-coder-30b-l1-django__django-10914-1,qwen3-coder-30b,L1,0.5625,2.75,3.875,4.775,4.5833,15.5,17.75,19.55,9
qwen3-coder-30b-l1-matplotlib__matplotlib-13989-1,qwen3-coder-30b,L1,0.375,4.75,6.125,7.225,4.5833,14.75,17.25,19.45,11
qwen3-coder-30b-l1-matplotlib__matplotlib-14623-1,qwen3-coder-30b,L1,1.75,8.25,9.125,9.825,4.5833,16.5,18.25,19.65,7
qwen3-coder-30b-l1-mwaskom__seaborn-3069-1,qwen3-coder-30b,L1,0.75,4.5,13.0,18.6,7.5,48.0,53.0,58.6,14
qwen3-coder-30b-l1-mwaskom__seaborn-3187-1,qwen3-coder-30b,L1,0.4545,4.5,7.25,9.45,8.3333,28.0,39.0,47.8,22
qwen3-coder-30b-l1-pallets__flask-5014-1,qwen3-coder-30b,L1,0.5,2.2,2.35,2.47,5.0,12.0,13.5,14.7,6
qwen3-coder-30b-l1-psf__requests-1142-1,qwen3-coder-30b,L1,0.7083,2.425,3.625,4.725,5.625,14.5,17.25,19.45,11
qwen3-coder-30b-l1-psf__requests-1724-1,qwen3-coder-30b,L1,1.0,3.75,4.375,4.875,7.5,20.0,25.0,29.0,10
qwen3-coder-30b-l1-psf__requests-1766-1,qwen3-coder-30b,L1,0.75,2.05,2.275,2.455,5.0,13.5,14.25,14.85,6
qwen3-coder-30b-l1-psf__requests-1921-1,qwen3-coder-30b,L1,0.6875,2.75,3.875,4.775,6.25,31.0,35.5,39.1,9
qwen3-coder-30b-l1-pylint-dev__pylint-4551-1,qwen3-coder-30b,L1,0.5312,1.96,2.38,4.3,8.6111,40.5,47.75,57.1,29
qwen3-coder-30b-l1-pylint-dev__pylint-4661-1,qwen3-coder-30b,L1,0.2875,0.4975,0.9875,2.185,6.0714,13.625,14.9375,18.95,21
qwen3-coder-30b-l1-pylint-dev__pylint-4970-1,qwen3-coder-30b,L1,0.625,3.625,4.3125,4.8625,7.5,24.5,27.25,29.45,11
qwen3-coder-30b-l1-pytest-dev__pytest-10051-1,qwen3-coder-30b,L1,0.475,2.75,3.875,4.775,4.6875,15.5,17.75,19.55,9
qwen3-coder-30b-l1-pytest-dev__pytest-10081-1,qwen3-coder-30b,L1,0.4135,1.4875,1.9937,2.3988,4.9038,14.3,26.5,57.3,27
qwen3-coder-30b-l1-pytest-dev__pytest-10356-1,qwen3-coder-30b,L1,0.5,2.75,3.875,4.775,8.125,21.0,25.5,29.1,18
qwen3-coder-30b-l1-pytest-dev__pytest-5262-1,qwen3-coder-30b,L1,0.5625,4.125,4.5625,4.9125,6.25,33.0,36.5,39.3,7
qwen3-coder-30b-l1-sphinx-doc__sphinx-10449-1,qwen3-coder-30b,L1,0.4821,6.75,13.5,18.7,12.5,28.5,43.5,48.7,13
qwen3-coder-30b-l1-sphinx-doc__sphinx-10466-1,qwen3-coder-30b,L1,0.375,2.05,2.275,2.455,4.1667,12.0,13.5,14.7,6
qwen3-coder-30b-l1-sympy__sympy-11618-1,qwen3-coder-30b,L1,0.4286,2.35,3.5,4.7,5.0,48.0,84.0,112.8,12
qwen3-coder-30b-l1-sympy__sympy-12096-1,qwen3-coder-30b,L1,0.625,1.15,1.825,2.365,4.6875,8.875,9.4375,9.8875,9
qwen3-coder-30b-l1-sympy__sympy-12419-1,qwen3-coder-30b,L1,0.6667,2.0,2.25,2.45,5.0,10.0,17.5,19.5,10
qwen3-coder-30b-l1-sympy__sympy-12481-1,qwen3-coder-30b,L1,0.5,8.5,9.25,9.85,5.0,24.0,27.0,29.4,6
qwen3-coder-30b-l2-node-1,qwen3-coder-30b,L2,0.2068,0.525,0.7208,3.825,11.25,79.5,114.75,211.8,47
qwen3-coder-30b-l2-node-10,qwen3-coder-30b,L2,0.2289,0.5893,0.6875,0.8625,5.5,47.5,85.0,174.0,55
qwen3-coder-30b-l2-node-11,qwen3-coder-30b,L2,0.2045,0.525,0.6687,0.885,7.0,39.1429,45.6667,184.8,46
qwen3-coder-30b-l2-node-12,qwen3-coder-30b,L2,0.2075,0.5583,0.7375,0.9463,12.5,34.25,39.625,94.2,43
qwen3-coder-30b-l2-node-13,qwen3-coder-30b,L2,0.2169,0.7313,1.675,14.7,14.6875,54.25,70.5,176.4,53
qwen3-coder-30b-l2-node-14,qwen3-coder-30b,L2,0.2015,0.55,0.925,2.155,10.7143,46.0,57.0,106.2,46
qwen3-coder-30b-l2-node-15,qwen3-coder-30b,L2,0.1961,0.4542,0.6187,0.8975,13.4375,49.0,88.5,381.6,41
qwen3-coder-30b-l2-node-16,qwen3-coder-30b,L2,0.1919,0.41,0.525,0.905,11.1111,32.0,45.5,97.2,38
qwen3-coder-30b-l2-node-17,qwen3-coder-30b,L2,0.204,0.5375,0.6646,0.8475,7.8333,39.6667,47.375,203.4,61
qwen3-coder-30b-l2-node-18,qwen3-coder-30b,L2,0.2286,0.7,0.85,0.97,12.5,36.4,46.0,57.6,48
qwen3-coder-30b-l2-node-19,qwen3-coder-30b,L2,0.1957,0.525,0.6792,0.9075,14.1667,47.6667,55.75,97.8,37
qwen3-coder-30b-l2-node-2,qwen3-coder-30b,L2,0.1911,0.4125,0.5562,0.8725,10.8333,35.8,42.25,89.4,51
qwen3-coder-30b-l2-node-20,qwen3-coder-30b,L2,0.25,0.45,0.475,0.495,0.5,4.5,4.75,4.95,2
qwen3-coder-30b-l2-node-3,qwen3-coder-30b,L2,0.2139,0.475,0.6187,0.8975,9.1667,34.5,49.5,95.4,41
qwen3-coder-30b-l2-node-4,qwen3-coder-30b,L2,0.205,0.45,0.525,0.86,8.5714,28.6667,36.0,57.2,56
qwen3-coder-30b-l2-node-5,qwen3-coder-30b,L2,0.2213,0.575,0.7125,0.9313,5.5,35.0,45.625,87.0,55
qwen3-coder-30b-l2-node-6,qwen3-coder-30b,L2,0.25,0.45,0.475,0.495,0.8,4.5,4.75,4.95,2
qwen3-coder-30b-l2-node-7,qwen3-coder-30b,L2,0.2269,0.67,0.8917,2.005,9.375,48.0,70.5,110.1,66
qwen3-coder-30b-l2-node-8,qwen3-coder-30b,L2,0.1929,0.4393,0.5958,0.8575,7.8846,28.25,35.375,54.3,57
qwen3-coder-30b-l2-node-9,qwen3-coder-30b,L2,0.2103,0.625,0.7917,0.9583,12.8571,40.0,48.3333,105.0,50
qwen3-coder-30b-l2-python-1,qwen3-coder-30b,L2,0.205,0.5625,0.8125,4.125,9.5,29.0,41.25,48.25,35
qwen3-coder-30b-l2-python-2,qwen3-coder-30b,L2,0.2125,0.4717,0.6437,0.9287,5.25,26.5,69.0,343.2,57
qwen3-coder-30b-l2-python-3,qwen3-coder-30b,L2,0.2096,0.5375,0.8458,1.645,12.0833,31.5,50.75,85.8,57
qwen3-coder-30b-l2-python-4,qwen3-coder-30b,L2,0.1911,0.4125,0.5562,0.8725,9.3182,34.75,42.25,54.9,51
qwen3-coder-30b-l2-python-5,qwen3-coder-30b,L2,0.2019,0.4173,0.4683,0.6175,13.125,28.7,43.5,88.2,53
qwen3-coder-30b-l2-python-6,qwen3-coder-30b,L2,0.2078,0.4458,0.4937,0.885,8.5714,43.5,49.25,92.4,46
qwen3-coder-30b-l2-python-7,qwen3-coder-30b,L2,0.19,0.4,0.55,1.96,12.5,66.0,93.0,114.6,36
qwen3-coder-30b-l2-python-8,qwen3-coder-30b,L2,0.1846,0.2875,0.425,0.64,11.875,29.4286,39.0,47.8,44
qwen3-coder-30b-l3-lcb-pre2024m06-1,qwen3-coder-30b,L3,0.3748,0.4765,0.4893,0.4994,52.6316,177.12,238.56,430.848,512
